1.34,4.56,0,0,0,
0.64,12.57,0,0,0,
1.40,13.37,14.37,0,0,
1.84,12.73,13.19,0,0,
3.98,1.45,0,0,0,
0.85,4.86,0,0,0,
1.74,12.90,13.38,0,0,
3.23,1.95,0,0,0,
0.88,7.16,0,0,0,
1.50,13.01,13.68,0,0,
0.114,-0.042,0.130,0,0,
0.181,-1.070,0.188,0,0,
0.111,-0.184,0.128,0,0,
0.079,0.065,0.123,0,0,
0.091,-0.030,0.151,0,0,
0.128,-0.036,0.199,0,0,
0.078,0.169,0.111,0,0,
0.094,-0.028,0.191,0,0,
0.094,-0.040,0.124,0,0,
0.088,-0.137,0.149,0,0,
0.140,0.136,0.257,0,0,
0.175,-0.149,0.205,0,0,
0.203,-0.345,0.294,0,0;
